Date,Open,High,Low,Close,Volume,MarketCap
1981-02-12,1.923847190703188,1.9293753640721671,1.885148882865905,1.885148882865905,179014,419546745.8237409
1981-02-13,1.885147888049656,1.8962047760799687,1.863034659115954,1.8796197175979608,256846,418316209.9671983
1981-02-17,1.8796197175979616,1.885147888049656,1.874091547146268,1.8796197175979608,139233,418316209.9671983
1981-02-18,1.879619415769349,1.896204471588135,1.874091246205367,1.8962044715881348,95993,422007207.336216
1981-02-19,1.8906764232526327,1.8906764232526327,1.868563194318932,1.8796197175979608,211876,418316209.9671983
1981-02-20,1.8796193809407309,1.8796193809407309,1.8575061559677128,1.8575061559677124,866530,413394756.3330221
1981-02-23,1.8575065391276584,1.8575065391276584,1.835393309593201,1.835393309593201,125396,408473461.8816138
1981-02-24,1.84092146520746,1.8575061559677128,1.84092146520746,1.8575061559677124,181608,413394756.3330221
1981-02-25,1.857506934150804,1.857506934150804,1.8298653457604743,1.840922236442566,120207,409703944.6772337
1981-02-26,1.84092276641112,1.885148882865905,1.829865872545948,1.885148882865905,258575,419546745.8237409
1981-02-27,1.890676498413086,1.907261192803105,1.890676498413086,1.890676498413086,428076,420776936.7842865
1981-03-02,1.8962058228826908,1.9570168256759644,1.8962058228826908,1.9570168256759644,942632,435541218.0954313
1981-03-03,1.957016260380949,1.957016260380949,1.934903025627136,1.934903025627136,116748,430619711.4003324
1981-03-04,1.9293748847385164,1.9293748847385164,1.8962053056380728,1.912789821624756,85615,425698337.3575402
1981-03-05,1.912789287435052,1.912789287435052,1.8796197175979616,1.8796197175979608,367540,418316209.9671983
1981-03-06,1.879620185099513,1.879620185099513,1.851978778839112,1.851978778839112,85615,412164618.43339926
1981-03-09,1.851978778839112,1.8630351224924475,1.846450424636756,1.851978778839112,250792,412164618.43339926
1981-03-10,1.8519791573093816,1.8575073302657867,1.8188093900680544,1.8188093900680544,929660,404782650.22582537
1981-03-11,1.818809383040904,1.8353940842217664,1.8022243171085937,1.80775249004364,715190,402321896.8782758
1981-03-12,1.8077524970280712,1.8243375630244592,1.8077524970280712,1.8188093900680544,253386,404782650.22582537
1981-03-13,1.8188086383033089,1.896204851460192,1.802223579161992,1.890676498413086,1700197,420776936.7842865
1981-03-16,1.9349022448854576,2.00124192237854,1.9349022448854576,2.00124192237854,595847,445383674.3459416
1981-03-17,2.00124280421312,2.0122993308128123,1.990186095237732,1.990186095237732,638222,442923159.7725439
1981-03-18,1.9901858678857416,2.017827272415161,1.9901858678857416,2.017827272415161,181608,449074804.3672657
1981-03-19,2.017826748957947,2.062053203582764,2.017826748957947,2.062053203582764,278466,458917446.3310052
1981-03-20,2.0731109463354125,2.111809253692627,2.0731109463354125,2.111809253692627,301815,469990836.3949776
1981-03-23,2.111809367677164,2.139450782798312,2.0952242997535806,2.1283938884735107,290573,473681807.23353386
1981-03-24,2.128393196424112,2.161563321485976,2.1062803268432617,2.1062803268432617,379647,468760353.5993576
1981-03-25,2.089695357572812,2.089695357572812,2.067581941807932,2.084167003631592,163447,463838953.026104
1981-03-26,2.084167529535326,2.0896958848715315,2.056526117605748,2.073110818862915,76967,461378358.8613224
1981-03-27,2.0731106735715974,2.0731106735715974,2.0067713260650635,2.0067713260650635,84750,446614263.2634068
1981-03-30,2.006770296563719,2.006770296563719,1.97912871837616,1.97912871837616,333813,440462300.3031493
1981-03-31,1.97912871837616,2.006770296563719,1.97912871837616,1.97912871837616,329489,440462300.3031493
1981-04-01,1.9791288341199589,2.028883641292212,1.9791288341199589,2.012298583984375,255116,447844374.6325684
1981-04-02,2.0122994636503453,2.045469045639038,1.995714399092436,2.045469045639038,199769,455226581.61429405
1981-04-03,2.045469206694769,2.045469206694769,2.028884687958157,2.0344128608703613,164312,452765987.4495125
